egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191761597,1007,1080,1252,3111,Oberegg,AI,POINT (2759167.432 1255000.541)
191763251,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749140.076 1243628.559)
191767025,1004,1060,1271,3104,Schlatt-Haslen,AI,POINT (2747664.729 1248026.127)
191767051,1004,1020,1110,3102,Gonten,AI,POINT (2742020.891 1240908.934)
191772574,1004,1020,1121,3111,Oberegg,AI,POINT (2763045.376 1255920.811)
191772592,1004,1060,1252,3111,Oberegg,AI,POINT (2758608.044 1253131.769)
191772595,1004,1060,1252,3111,Oberegg,AI,POINT (2758627.448 1253133.719)
191774116,1004,1060,1252,3111,Oberegg,AI,POINT (2759550.77 1254680.32)
191775195,1004,1060,1242,3111,Oberegg,AI,POINT (2758991.639 1254115.534)
191778272,1004,1020,1110,3101,Appenzell,AI,POINT (2748591.14 1245041.856)
191786512,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749530.278 1244151.389)
191786513,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749549.614 1244146.924)
191786514,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749569.051 1244142.43)
191787813,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749309.771 1243453.754)
191787815,1004,1060,1242,3112,Schwende-Rüte,AI,POINT (2749667.563 1243518.894)
191787816,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749669.396 1243492.328)
191787817,1007,1060,1242,3112,Schwende-Rüte,AI,POINT (2749571 1243596)
191788014,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2751117.947 1240744.824)
191789515,1004,1060,1252,3101,Appenzell,AI,POINT (2746626.931 1243211.033)
191789532,1004,1060,1242,3112,Schwende-Rüte,AI,POINT (2750339.828 1243726.279)
191790372,1004,1060,1242,3112,Schwende-Rüte,AI,POINT (2751972.303 1243089.132)
191791312,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2749771.134 1244597.062)
191791313,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2749782.065 1244559.103)
191792754,1004,1060,1271,3112,Schwende-Rüte,AI,POINT (2749581.63 1244373.708)
191796851,1004,1020,1110,3101,Appenzell,AI,POINT (2746758.978 1243193.28)
191796872,1004,1060,1271,3111,Oberegg,AI,POINT (2762623.507 1253996.859)
191799454,1004,1060,1271,3112,Schwende-Rüte,AI,POINT (2753623.534 1238424.365)
191799514,1004,1060,1271,3112,Schwende-Rüte,AI,POINT (2753315.454 1238013.241)
191802174,1007,1080,1252,3111,Oberegg,AI,POINT (2760085.401 1253932.606)
191803594,1007,1060,1252,3111,Oberegg,AI,POINT (2760722.383 1253803.63)
191808014,1004,1060,1252,3111,Oberegg,AI,POINT (2759185.079 1253268.727)
191810738,1004,1060,1271,3111,Oberegg,AI,POINT (2759259.909 1254303.757)
191812974,1004,1060,1271,3102,Gonten,AI,POINT (2743897.635 1243501.933)
191813478,1004,1020,1122,3101,Appenzell,AI,POINT (2748802.859 1245006.973)
191813479,1004,1020,1122,3101,Appenzell,AI,POINT (2748782.031 1245035.606)
191817337,1004,1060,1271,3112,Schwende-Rüte,AI,POINT (2750444.901 1242133.43)
191818241,1004,1060,1251,3101,Appenzell,AI,POINT (2747891.421 1244960.921)
191818242,1004,1060,1271,3104,Schlatt-Haslen,AI,POINT (2745447.805 1247548.301)
191823018,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2751051.926 1241354.351)
191823025,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2751034.092 1241333.303)
191824034,1004,1060,1274,3112,Schwende-Rüte,AI,POINT (2749821.869 1244491.211)
191824095,1004,1020,1121,3111,Oberegg,AI,POINT (2761053.14 1255490.29)
191832734,1004,1020,1110,3102,Gonten,AI,POINT (2743692.308 1241587.333)
191833274,1004,1020,1110,3102,Gonten,AI,POINT (2744528.67 1243786.498)
191833275,1004,1020,1110,3102,Gonten,AI,POINT (2744547.376 1243798.75)
